ts,Valve,Occp,RaHumidity,RaTemp,SaTemp,ThermEnergy,main_temp,main_humidity,wind_speed,clouds_all,hour,minute,dayofweek,month,is_weekend,hour_sin,hour_cos,minute_sin,minute_cos,delta_supply_return,delta_outdoor_indoor,delta_humidity,Valve_lag_1,RaTemp_lag_1,SaTemp_lag_1,RaHumidity_lag_1,RaTemp_diff_1,RaTemp_pct_1,ThermEnergy_diff_1,Valve_change_1
2024-07-07 00:05:00,100.0,1,75.51844,19.300001,15.900001,12.11866754,33.9,53.44,4.9,18.0,0,5,6,7,1,0.0,1.0,0.49999999999999994,0.8660254037844387,-3.400000000000002,14.599998999999997,-22.07844,100.0,18.5,16.0,75.3434,0.8000010000000017,0.04324329729729737,0.0030095400000007544,0.0
2024-07-07 00:10:00,0.0,0,75.3684,18.5,15.1,0.0,33.9,53.44,4.9,18.0,0,10,6,7,1,0.0,1.0,0.8660254037844386,0.5000000000000001,-3.4000000000000004,15.399999999999999,-21.928399999999996,100.0,19.300001,15.900001,75.51844,-0.8000010000000017,-0.04145082686783286,-12.11866754,-100.0
2024-07-07 00:15:00,0.0,0,78.4504,18.6,17.0,0.0,33.9,53.44,4.9,18.0,0,15,6,7,1,0.0,1.0,1.0,2.83276944882399e-16,-1.6000000000000014,15.299999999999997,-25.010400000000004,0.0,18.5,15.1,75.3684,0.10000000000000142,0.005405405405405572,0.0,0.0
2024-07-07 00:20:00,0.0,0,76.46242,19.0,17.0,0.0,33.9,53.44,4.9,18.0,0,20,6,7,1,0.0,1.0,0.8660254037844387,-0.4999999999999998,-2.0,14.899999999999999,-23.022419999999997,0.0,18.6,17.0,78.4504,0.3999999999999986,0.021505376344086002,0.0,0.0
2024-07-07 00:25:00,0.0,0,76.46242,19.6,17.7,0.0,33.9,53.44,4.9,18.0,0,25,6,7,1,0.0,1.0,0.49999999999999994,-0.8660254037844387,-1.9000000000000021,14.299999999999997,-23.022419999999997,0.0,19.0,17.0,76.46242,0.6000000000000014,0.03157894736842115,0.0,0.0
2024-07-07 00:30:00,0.0,0,76.21236,18.5,17.2,0.0,33.9,53.44,4.9,18.0,0,30,6,7,1,0.0,1.0,5.66553889764798e-16,-1.0,-1.3000000000000007,15.399999999999999,-22.772360000000006,0.0,19.6,17.7,76.46242,-1.1000000000000014,-0.056122448979591955,0.0,0.0
2024-07-07 00:35:00,0.0,0,76.3874,19.7,18.2,0.0,33.9,53.44,4.9,18.0,0,35,6,7,1,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-1.5,14.2,-22.947400000000002,0.0,18.5,17.2,76.21236,1.1999999999999993,0.06486486486486487,0.0,0.0
2024-07-07 00:40:00,74.1875,1,77.481415,21.0,17.5,9.013303214,33.9,53.44,4.9,18.0,0,40,6,7,1,0.0,1.0,-0.8660254037844384,-0.5000000000000004,-3.5,12.899999999999999,-24.041415,0.0,19.7,18.2,76.3874,1.3000000000000007,0.06598984771573613,9.013303214,74.1875
2024-07-07 00:45:00,100.0,1,76.065445,20.300001,16.2,12.20818607,33.9,53.44,4.9,18.0,0,45,6,7,1,0.0,1.0,-1.0,-1.8369701987210297e-16,-4.1000010000000024,13.599998999999997,-22.625445,74.1875,21.0,17.5,77.481415,-0.6999989999999983,-0.03333328571428562,3.1948828559999995,25.8125
2024-07-07 00:50:00,100.0,1,76.53744,20.800001,15.5,12.11866754,33.9,53.44,4.9,18.0,0,50,6,7,1,0.0,1.0,-0.8660254037844386,0.5000000000000001,-5.300001000000002,13.099998999999997,-23.097440000000006,100.0,20.300001,16.2,76.065445,0.5,0.024630540658594047,-0.08951852999999943,0.0
2024-07-07 00:55:00,100.0,1,77.25636,20.2,16.6,12.115658,33.9,53.44,4.9,18.0,0,55,6,7,1,0.0,1.0,-0.49999999999999967,0.8660254037844388,-3.599999999999998,13.7,-23.816360000000003,100.0,20.800001,15.5,76.53744,-0.6000010000000024,-0.02884620053624043,-0.0030095400000007544,0.0
2024-07-07 01:00:00,100.0,1,77.25636,19.2,15.8,12.11264846,32.8,55.1,4.4,24.0,1,0,6,7,1,0.25881904510252074,0.9659258262890683,0.0,1.0,-3.3999999999999986,13.599999999999998,-22.15636,100.0,20.2,16.6,77.25636,-1.0,-0.04950495049504955,-0.003009539999998978,0.0
2024-07-07 01:05:00,100.0,1,77.45641,20.5,15.5,12.11264846,32.8,55.1,4.4,24.0,1,5,6,7,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-5.0,12.299999999999997,-22.356410000000004,100.0,19.2,15.8,77.25636,1.3000000000000007,0.06770833333333348,0.0,0.0
2024-07-07 01:10:00,0.0,0,78.5723,21.0,15.400001,0.0,32.8,55.1,4.4,24.0,1,10,6,7,1,0.25881904510252074,0.9659258262890683,0.8660254037844386,0.5000000000000001,-5.599999,11.799999999999997,-23.472299999999997,100.0,20.5,15.5,77.45641,0.5,0.024390243902439046,-12.11264846,-100.0
2024-07-07 01:15:00,0.0,0,78.078445,19.4,17.0,0.0,32.8,55.1,4.4,24.0,1,15,6,7,1,0.25881904510252074,0.9659258262890683,1.0,2.83276944882399e-16,-2.3999999999999986,13.399999999999999,-22.978445,0.0,21.0,15.400001,78.5723,-1.6000000000000014,-0.07619047619047625,0.0,0.0
2024-07-07 01:20:00,0.0,0,76.065445,20.4,18.2,0.0,32.8,55.1,4.4,24.0,1,20,6,7,1,0.25881904510252074,0.9659258262890683,0.8660254037844387,-0.4999999999999998,-2.1999999999999993,12.399999999999999,-20.965444999999995,0.0,19.4,17.0,78.078445,1.0,0.05154639175257736,0.0,0.0
